"Video.ID"	"Vernacular.Name"	"Species"	"Umbrella.Duiker.Species"	"Umbrella.Species"	"Number.Individuals"
"TaiEast_1_loc29_20140627_EK000009"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20140627_EK000010"	"Bay_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000005"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141103_EK000006"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000007"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000008"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	4
"TaiEast_1_loc29_20141103_EK000009"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141103_EK000010"	"Pygmy_hippopotamus"	"hippopotamus"	"hippopotamus"	"hippopotamus"	1
"TaiEast_1_loc29_20141103_EK000012"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_1_loc29_20141103_EK000015"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000017"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000018"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_1_loc29_20141103_EK000019"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000020"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000021"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141103_EK000022"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141103_EK000025"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000026"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_1_loc29_20141103_EK000027"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000027"	"Squirrel"	"rodent"	"rodent"	"rodent"	1
"TaiEast_1_loc29_20141103_EK000031"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_1_loc29_20141103_EK000032"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000033"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_1_loc29_20141103_EK000034"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_1_loc29_20141103_EK000036"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	4
"TaiEast_1_loc29_20141103_EK000037"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000038"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000041"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_1_loc29_20141103_EK000042"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000043"	"Duiker_sp"	"duiker.sp"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141103_EK000045"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000004"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	4
"TaiEast_1_loc29_20141118_EK000005"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_1_loc29_20141118_EK000006"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000007"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141118_EK000010"	"Jentinks_duiker"	"Jentink's duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000012"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141118_EK000014"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000015"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000016"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000018"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141118_EK000019"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141118_EK000020"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000021"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_1_loc29_20141118_EK000022"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_1_loc29_20141118_EK000023"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000024"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141118_EK000025"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000026"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141118_EK000028"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000029"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_1_loc29_20141118_EK000030"	"Red_river_hog"	"red river hog"	"hog"	"hog"	1
"TaiEast_1_loc29_20141118_EK000031"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000032"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_1_loc29_20141118_EK000033"	"Jentinks_duiker"	"Jentink's duiker"	"duiker"	"hoofed.animal"	1
