"Clip.ID"	"Tags"
"ACP000e0g8"	"5_diana_monkey:1;agedviolet:1;diana_monkey:1"
"ACP000e0g9"	""
"ACP000e0ga"	"agedviolet:1;grey_duiker:1"
"ACP000e0gb"	""
"ACP000e0gc"	"repeated:1;agedviolet:1;diana_monkey:1"
"ACP000e0gd"	""
"ACP000e0ge"	"agedviolet:1;small_grey_duiker:1"
"ACP000e0gf"	""
"ACP000e0gg"	"agedviolet:1;diana_monkey:1"
"ACP000e0gh"	""
"ACP000e0gi"	""
"ACP000e0gj"	""
"ACP000e0gk"	"repeated:1;diana_monkey:1;agedviolet:1;need_id:1"
"ACP000e0gl"	""
"ACP000e0gm"	""
"ACP000e0gn"	""
"ACP000e0go"	""
"ACP000e0gp"	"agedviolet:1;grey_duiker:1"
"ACP000e0gq"	""
"ACP000e0gr"	""
"ACP000e0gs"	"repeated:3;agedviolet:1;genet:1"
"ACP000e0gt"	"genet:2;agedviolet:2;bat:2;multispecies:1"
"ACP000e0gu"	"agedviolet:1;bat:1"
"ACP000e0gv"	""
"ACP000e0gw"	"agedviolet:1;zebra_duiker:1"
"ACP000e0gx"	""
"ACP000e0gy"	""
"ACP000e0gz"	""
"ACP000e0h0"	"repeated:2;agedviolet:1;mongoose:1"
"ACP000e0h1"	""
"ACP000e0h2"	""
"ACP000e0h3"	""
"ACP000e0h7"	""
"ACP000e0h8"	"avunclear01:1;avmale01:1;baba:1;baron:1;scratch:1;agedviolet:1;male:1;camera_reaction:1;2_chimp:1"
"ACP000e0h9"	""
"ACP000e0ha"	"agedviolet:1;researcher:1;human:1"
"ACP000e0hb"	""
"ACP000e0hc"	"avfem01:2;1_chimp:1;repeated:1;lya:1;habituated:1;agedviolet:1;female:1;adult:1;researcher:1;chimp:1"
"ACP000e0hd"	""
"ACP000e0he"	"1_chimp:3;lya:1;agedviolet:1;adult:1;chimp:1"
"ACP000e0hf"	""
"ACP000e0hg"	""
"ACP000e0hh"	""
"ACP000e0hi"	""
"ACP000e0hj"	"agedviolet:1;duiker:1"
"ACP000e0hk"	"agedviolet:1;duiker:1"
"ACP000e0hl"	""
"ACP000e0hm"	""
"ACP000e0hn"	""
"ACP000e0ho"	""
"ACP000e0hp"	""
"ACP000e0hq"	""
"ACP000e0hr"	""
"ACP000e0hs"	""
"ACP000e0ht"	""
"ACP000e0hu"	""
"ACP000e0hv"	"agedviolet:1;grey_duiker:1"
"ACP000e0hw"	""
"ACP000e0hx"	""
"ACP000e0hy"	"agedviolet:1;duiker:1"
"ACP000e0hz"	"agedviolet:1;small_grey_duiker:1"
"ACP000e0i0"	""
"ACP000e0i1"	""
"ACP000e0i2"	""
"ACP000e0i7"	"aged-violet:1;grey_duiker:1"
"ACP000e0i8"	"agedviolet:1;small_grey_duiker:1"
"ACP000e0i9"	""
"ACP000e0ia"	""
"ACP000e0ij"	"needcid:1;1_chimp:1;agedviolet:1;chimp:1"
"ACP000e0ik"	""
"ACP000e0il"	""
"ACP000e0im"	""
"ACP000e0in"	""
"ACP000e0io"	""
"ACP000e0ip"	""
"ACP000e0iq"	""
"ACP000e0ir"	""
"ACP000e0is"	""
"ACP000e0it"	""
"ACP000e0iu"	""
"ACP000e0iv"	"agedviolet:1;mona_monkey:1"
"ACP000e0iw"	"agedviolet:1;mona_monkey:1;repeated:1;need_id:1;monkey:1"
"ACP000e0ix"	"agedviolet:2;mona_monkey:2;multispecies:1;bird:1;diana_monkey:1"
"ACP000e0iy"	"agedviolet:2;multispecies:1;need_id:1;mona_monkey:1;bird:1;4_diana_monkey:1;diana_monkey:1"
"ACP000e0jv"	"agedviolet:1;brookes_duiker:1"
"ACP000e0jw"	"brookes_duiker:1"
"ACP000e0jx"	"agedviolet:1;brookes_duiker:1"
"ACP000e0jy"	""
"ACP000e0k8"	"agedviolet:1;camera_reaction:1;small_grey_duiker:1"
"ACP000e0ka"	""
"ACP000e0kc"	""
"ACP000e0ke"	""
"ACP000e0kn"	"porcupine:2;agedviolet:2;brush-tailed:1;brush_tailed:1;brush-tailed_porcupine:1"
"ACP000e0ko"	""
"ACP000e0kp"	""
"ACP000e0kr"	""
"ACP000e0le"	""
"ACP000e0lg"	""
"ACP000e0lh"	""
"ACP000e0li"	""
"ACP000e0lt"	"agedviolet:1;small_grey_duiker:1"
"ACP000e0lw"	""
"ACP000e0lx"	"small_grey_duiker:2;agedviolet:1;aged_violet:1"
"ACP000e0ly"	""
"ACP000e0m9"	"agedviolet:1;small_grey_duiker:1"
"ACP000e0mb"	""
"ACP000e0md"	"agedviolet:1;small_grey_duiker:1"
"ACP000e0me"	""
"ACP000e0mj"	"brookes_duiker:1"
"ACP000e0mk"	""
"ACP000e0mm"	""
"ACP000e0mp"	""
"ACP000e0n3"	"agedviolet:1;dailyzoo:1;selfie:1;camera_reaction:1;duiker:1;yellow_backed:1"
"ACP000e0n4"	"duiker:1;yellow-backed:1;camera_reaction:1;agedviolet:1"
"ACP000e0n5"	""
"ACP000e0n6"	""
"ACP000e0nm"	""
"ACP000e0no"	""
"ACP000e0np"	""
"ACP000e0nq"	""
"ACP000e0on"	"agedviolet:1;bay_duiker:1"
"ACP000e0oo"	""
"ACP000e0op"	""
"ACP000e0oq"	""
"ACP000e0or"	"need_id:1;agedviolet:1;viverrid:1"
"ACP000e0os"	""
"ACP000e0ot"	""
"ACP000e0ou"	""
"ACP000e0ov"	""
"ACP000e0ow"	""
"ACP000e0ox"	""
"ACP000e0oy"	""
"ACP000e0pf"	"mongoose:2;agedviolet:2"
"ACP000e0pg"	""
"ACP000e0ph"	""
"ACP000e0pi"	""
"ACP000e0pv"	""
"ACP000e0pw"	""
"ACP000e0px"	""
"ACP000e0py"	""
"ACP000e0qb"	""
"ACP000e0qc"	"agedviolet:1;small_grey_duiker:1"
"ACP000e0qd"	""
"ACP000e0qe"	""
"ACP000e0qr"	"agedviolet:1;squirrel:1;rodent:1"
"ACP000e0qs"	""
"ACP000e0qt"	""
"ACP000e0qu"	""
"ACP000e0rx"	""
"ACP000e0rz"	""
"ACP000e0s1"	""
"ACP000e0s2"	""
"ACP000e0so"	"agedviolet:1;brookes_duiker:1"
"ACP000e0sq"	""
"ACP000e0ss"	""
"ACP000e0su"	""
"ACP000e0tr"	"agedviolet:1;small_grey_duiker:1"
"ACP000e0ts"	""
"ACP000e0tt"	""
"ACP000e0tu"	""
"ACP000e0vv"	""
"ACP000e0vw"	""
"ACP000e0vx"	""
"ACP000e0vy"	""
"ACP000e0wj"	""
"ACP000e0wk"	""
"ACP000e0wm"	""
"ACP000e0wo"	""
"ACP000e0xz"	"agedviolet:1;mongoose:1"
"ACP000e0y1"	"mongoose:2;agedviolet:1"
"ACP000e0y3"	""
"ACP000e0y5"	""
"ACP000e0yj"	""
"ACP000e0yk"	""
"ACP000e0yl"	""
"ACP000e0ym"	""
"ACP000e0yn"	""
"ACP000e0yo"	""
"ACP000e0yp"	""
"ACP000e0yq"	""
"ACP000e0ys"	""
"ACP000e0yu"	""
"ACP000e0yw"	""
"ACP000e0yy"	""
"ACP000e10f"	""
"ACP000e10g"	""
"ACP000e10h"	""
"ACP000e10i"	""
"ACP000e12j"	""
"ACP000e12k"	"agedviolet:1;bat:1"
"ACP000e12l"	""
"ACP000e12m"	""
"ACP000e12n"	""
"ACP000e12o"	""
"ACP000e12p"	""
"ACP000e12q"	""
"ACP000e12r"	""
"ACP000e12s"	""
"ACP000e12t"	""
"ACP000e12u"	""
"ACP000e13e"	"agedviolet:1;slender-tailed_squirrel:1;squirrel:1"
"ACP000e13f"	""
"ACP000e13h"	""
"ACP000e13i"	""
"ACP000e13j"	""
"ACP000e13k"	""
"ACP000e13l"	""
"ACP000e13m"	""
"ACP000e13n"	"agedviolet:1;zebra_duiker:1"
"ACP000e13o"	"agedviolet:1;zebra_duiker:1"
"ACP000e13p"	""
"ACP000e13q"	""
"ACP000e13z"	""
"ACP000e140"	""
"ACP000e141"	""
"ACP000e142"	""
"ACP000e14q"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e14s"	""
"ACP000e14t"	""
"ACP000e14u"	""
"ACP000e14v"	""
"ACP000e14w"	""
"ACP000e14x"	""
"ACP000e14y"	""
"ACP000e167"	""
"ACP000e168"	""
"ACP000e169"	""
"ACP000e16a"	""
"ACP000e16j"	"agedviolet:1;brookes_duiker:1"
"ACP000e16l"	""
"ACP000e16n"	""
"ACP000e16p"	""
"ACP000e171"	""
"ACP000e173"	""
"ACP000e175"	""
"ACP000e176"	""
"ACP000e17j"	"agedviolet:1;brookes_duiker:1"
"ACP000e17k"	""
"ACP000e17l"	""
"ACP000e17m"	""
"ACP000e18j"	""
"ACP000e18k"	"agedviolet:1;small_grey_duikerv:1"
"ACP000e18l"	"agedviolet:1;small_grey_duiker:1"
"ACP000e18m"	""
"ACP000e18z"	"brookes_duiker:1;agedviolet:1;duiker:1"
"ACP000e190"	""
"ACP000e191"	""
"ACP000e192"	""
"ACP000e19n"	""
"ACP000e19o"	""
"ACP000e19q"	""
"ACP000e19s"	""
"ACP000e1ar"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e1as"	""
"ACP000e1at"	"agedviolet:1;monkey:1"
"ACP000e1au"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e1bi"	""
"ACP000e1bk"	""
"ACP000e1bl"	""
"ACP000e1bm"	""
"ACP000e1bn"	""
"ACP000e1bo"	""
"ACP000e1bp"	""
"ACP000e1bq"	""
"ACP000e1e7"	"front_side:1;right_side:1;agedviolet:1;leopard:1"
"ACP000e1e8"	""
"ACP000e1e9"	""
"ACP000e1ea"	""
"ACP000e1ej"	"agedviolet:1;brookes_duiker:1"
"ACP000e1el"	""
"ACP000e1en"	""
"ACP000e1ep"	""
"ACP000e1er"	""
"ACP000e1et"	""
"ACP000e1ev"	""
"ACP000e1ex"	""
"ACP000e1fb"	"agedviolet:1;human:1"
"ACP000e1fc"	""
"ACP000e1fe"	""
"ACP000e1fg"	""
"ACP000e1fz"	""
"ACP000e1g0"	""
"ACP000e1g1"	""
"ACP000e1g2"	""
"ACP000e1gk"	"male:1;leomaleav05:1;vocalization:1;off_vocalization:1;dailyzoo:1;agedviolet:1;kito:1;leopard:1"
"ACP000e1gm"	"leomaleav05:1;agedviolet:1;kito:1;leopard:1"
"ACP000e1go"	""
"ACP000e1gq"	""
"ACP000e1hj"	""
"ACP000e1hk"	""
"ACP000e1hm"	""
"ACP000e1ho"	""
"ACP000e1hr"	"agedviolet:1;small_grey_duiker:1"
"ACP000e1hs"	""
"ACP000e1hu"	""
"ACP000e1hw"	""
"ACP000e1in"	""
"ACP000e1io"	""
"ACP000e1ip"	""
"ACP000e1iq"	""
"ACP000e1jf"	"agedviolet:1;bay_duiker:1"
"ACP000e1jg"	""
"ACP000e1jh"	""
"ACP000e1ji"	""
"ACP000e1kn"	""
"ACP000e1ko"	""
"ACP000e1kq"	""
"ACP000e1ks"	""
"ACP000e1kv"	"agedviolet:1;small-grey_duiker:1"
"ACP000e1kw"	"agedviolet:1;small_grey_duiker:1"
"ACP000e1kx"	""
"ACP000e1ky"	""
"ACP000e1lb"	"agedviolet:1;duiker:1"
"ACP000e1lc"	""
"ACP000e1ld"	""
"ACP000e1le"	""
"ACP000e1m7"	""
"ACP000e1m8"	""
"ACP000e1m9"	""
"ACP000e1ma"	""
"ACP000e1mn"	"agedviolet:1;bay_duiker:1"
"ACP000e1mo"	"agedviolet:1;bay_duiker:1"
"ACP000e1mp"	""
"ACP000e1mq"	""
"ACP000e1o7"	"agedviolet:1;jentinks_duiker:1"
"ACP000e1o8"	""
"ACP000e1o9"	""
"ACP000e1oa"	""
"ACP000e1ob"	""
"ACP000e1oc"	""
"ACP000e1od"	""
"ACP000e1oe"	""
"ACP000e1qp"	""
"ACP000e1qr"	""
"ACP000e1qt"	"repeated:1;agedviolet:1;duiker:1"
"ACP000e1qu"	""
"ACP000e1rb"	""
"ACP000e1rc"	"porcupine:1;brush-tailed:1;agedviolet:1;small_grey_duiker:1"
"ACP000e1rd"	"agedviolet:1;porcupine:1;brush_tailed:1"
"ACP000e1rf"	""
"ACP000e1sd"	""
"ACP000e1se"	""
