"Clip.ID"	"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Number.Blanks"	"Number.Nonblanks"
"ACP000e0g9"	"TaiEast_64_loc49_20150213_EK000030"	"duiker"	"duiker"	1	1	8	6
"ACP000e0ga"	"TaiEast_64_loc49_20150213_EK000008"	"duiker"	"duiker"	1	1	2	12
"ACP000e0gb"	"TaiEast_64_loc49_20150213_EK000018"	"blank"	"blank"	1	1	3	0
"ACP000e0gd"	"TaiEast_64_loc49_20150213_EK000008"	"duiker"	"blank"	1	0	3	0
"ACP000e0ge"	"TaiEast_64_loc49_20150213_EK000030"	"duiker"	"duiker"	1	1	7	6
"ACP000e0gf"	"TaiEast_64_loc49_20150213_EK000018"	"blank"	"blank"	1	1	3	0
"ACP000e0gh"	"TaiEast_64_loc49_20150213_EK000008"	"duiker"	"blank"	1	0	3	0
"ACP000e0gi"	"TaiEast_64_loc49_20150213_EK000030"	"duiker"	"duiker"	0.875	0.875	6	8
"ACP000e0gj"	"TaiEast_64_loc49_20150213_EK000008"	"duiker"	"blank"	1	0	3	0
"ACP000e0gl"	"TaiEast_64_loc49_20150213_EK000018"	"blank"	"blank"	1	1	4	0
"ACP000e0gm"	"TaiEast_64_loc49_20150213_EK000030"	"duiker"	"duiker"	0.777777777777778	0.777777777777778	6	9
"ACP000e0gn"	"TaiEast_64_loc49_20150213_EK000018"	"blank"	"blank"	1	1	3	0
"ACP000e0go"	"TaiEast_64_loc49_20150213_EK000019"	"duiker"	"duiker"	1	1	0	9
"ACP000e0gp"	"TaiEast_64_loc49_20150213_EK000019"	"duiker"	"duiker"	1	1	1	12
"ACP000e0gq"	"TaiEast_64_loc49_20150213_EK000019"	"duiker"	"duiker"	0.75	0.75	2	12
"ACP000e0gr"	"TaiEast_64_loc49_20150213_EK000019"	"duiker"	"blank"	1	0	3	0
"ACP000e0gs"	"TaiEast_64_loc49_20150213_EK000016"	"other (non-primate)"	"no consensus"	NA	NA	7	4
"ACP000e0gt"	"TaiEast_64_loc49_20150213_EK000016"	"other (non-primate)"	"other (non-primate)"	0.875	0.875	5	8
"ACP000e0gu"	"TaiEast_64_loc49_20150213_EK000016"	"other (non-primate)"	"presence undetermined"	NA	NA	12	3
"ACP000e0gv"	"TaiEast_64_loc49_20150213_EK000016"	"other (non-primate)"	"blank"	1	0	3	0
"ACP000e0gw"	"TaiEast_64_loc49_20150213_EK000011"	"duiker"	"duiker"	0.818181818181818	0.818181818181818	4	11
"ACP000e0gx"	"TaiEast_64_loc49_20150213_EK000011"	"duiker"	"presence undetermined"	NA	NA	13	2
"ACP000e0gy"	"TaiEast_64_loc49_20150213_EK000011"	"duiker"	"bird"	0.833333333333333	0	8	6
"ACP000e0gz"	"TaiEast_64_loc49_20150213_EK000011"	"duiker"	"bird"	0.666666666666667	0	8	6
"ACP000e0h0"	"TaiEast_64_loc49_20150213_EK000010"	"other (non-primate)"	"other (non-primate)"	0.8	0.8	7	5
"ACP000e0h1"	"TaiEast_64_loc49_20150213_EK000010"	"other (non-primate)"	"blank"	1	0	4	0
"ACP000e0h2"	"TaiEast_64_loc49_20150213_EK000010"	"other (non-primate)"	"blank"	1	0	3	0
"ACP000e0h3"	"TaiEast_64_loc49_20150213_EK000010"	"other (non-primate)"	"blank"	1	0	3	0
