"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_1_loc29_20140627_EK000009"	"small grey duiker"	"small grey duiker"	0.8	0.8	"Consensus reached"
"TaiEast_1_loc29_20140627_EK000010"	"red duiker"	"red duiker"	0.75	0.75	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000005"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000006"	"red duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000007"	"red duiker"	"red duiker"	0.625	0.625	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000008"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000009"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000012"	"small grey duiker"	"small grey duiker"	0.875	0.875	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000015"	"small grey duiker"	"small grey duiker"	0.714285714285714	0.714285714285714	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000017"	"small grey duiker"	"red duiker"	0.833333333333333	0.166666666666667	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000019"	"small grey duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_1_loc29_20141103_EK000020"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000021"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000022"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000026"	"small grey duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_1_loc29_20141103_EK000031"	"small grey duiker"	"small grey duiker"	0.625	0.625	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000032"	"small grey duiker"	"red duiker"	0.6	0.4	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000033"	"small grey duiker"	"small grey duiker"	0.75	0.75	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000034"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000036"	"small grey duiker"	"small grey duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000037"	"small grey duiker"	"small grey duiker"	0.5	0.5	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000038"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000041"	"small grey duiker"	"small grey duiker"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000042"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000045"	"small grey duiker"	"red duiker"	0.5	0.375	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000004"	"small grey duiker"	"small grey duiker"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000005"	"small grey duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_1_loc29_20141118_EK000006"	"small grey duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_1_loc29_20141118_EK000007"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000012"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000014"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000016"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000018"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000019"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000020"	"small grey duiker"	"small grey duiker"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000021"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000022"	"small grey duiker"	"small grey duiker"	0.75	0.75	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000023"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000024"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000025"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000026"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000028"	"small grey duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_1_loc29_20141118_EK000029"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000030"	"red river hog"	"red river hog"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000031"	"red duiker"	"red duiker"	0.625	0.625	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000032"	"red duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_1_loc29_20141118_EK000033"	"Jentink's duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_1_loc29_20141118_EK000034"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000037"	"small grey duiker"	"small grey duiker"	0.75	0.75	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000038"	"small grey duiker"	"small grey duiker"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000039"	"small grey duiker"	"small grey duiker"	0.7	0.7	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000041"	"small grey duiker"	"small grey duiker"	0.571428571428571	0.571428571428571	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000042"	"blank"	"blank"	NA	NA	"Consensus blank"
