"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_1_loc29_20140627_EK000009"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20140627_EK000010"	"hoofed.animal"	"hoofed.animal"	0.75	0.75	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000005"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000006"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000007"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000008"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000009"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000012"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000015"	"hoofed.animal"	"hoofed.animal"	0.857142857142857	0.857142857142857	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000017"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000019"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000020"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000021"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000022"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000026"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000031"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000032"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000033"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000034"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000036"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000037"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000038"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141103_EK000041"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000042"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141103_EK000045"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000004"	"hoofed.animal"	"hoofed.animal"	0.888888888888889	0.888888888888889	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000005"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000006"	"hoofed.animal"	"hoofed.animal"	0.875	0.875	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000007"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000012"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000014"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000016"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
